experiment,folder,choice_set,alternative,R,O,Y,G,B,P,UV,intensity,no_choice,max_count
1,T7T5T8T4T1T25T3F0F0F0F0F0F0T19T32F0,111,2_right,0,0,0,0,0,0.39,0.61,0.06,0,9
1,T7T5T8T4T1T25T3F0F0F0F0F0F0T19T32F0,111,3_none,0,0,0,0,0,0,0,0,1,66
1,T7T8T2T34F0F0F0F0T3F0F0T34F0T8T4F0,81,1_left,0.12,0.12,0.03,0.73,0,0,0,0.04,0,1
1,T7T8T2T34F0F0F0F0T3F0F0T34F0T8T4F0,81,2_right,0.08,0,0,0.69,0,0.16,0.07,0.16,0,4
1,T7T8T2T34F0F0F0F0T3F0F0T34F0T8T4F0,81,3_none,0,0,0,0,0,0,0,0,1,75
1,T8F0T15T1T2T11T29F0F0F0F0F0F0F0T61F0,96,1_left,0.12,0,0.18,0.01,0.04,0.18,0.48,0.51,0,6
1,T8F0T15T1T2T11T29F0F0F0F0F0F0F0T61F0,96,2_right,0,0,0,0,0,0,1,0.44,0,8
1,T8F0T15T1T2T11T29F0F0F0F0F0F0F0T61F0,96,3_none,0,0,0,0,0,0,0,0,1,66
1,T8T3T11T15T3T24T11F0T4T5T7T9T18T1T9F0,113,1_left,0.1,0.03,0.11,0.22,0.04,0.34,0.15,1,0,6
1,T8T3T11T15T3T24T11F0T4T5T7T9T18T1T9F0,113,2_right,0.09,0.07,0.1,0.19,0.35,0.02,0.16,0.1,0,5
1,T8T3T11T15T3T24T11F0T4T5T7T9T18T1T9F0,113,3_none,0,0,0,0,0,0,0,0,1,69
1,T8T3T18F0T14F0T4F0F0T8T10T0T13F0T5F0,106,1_left,0.17,0.05,0.32,0,0.37,0,0.1,-0.35,0,4
1,T8T3T18F0T14F0T4F0F0T8T10T0T13F0T5F0,106,2_right,0,0.18,0.24,0.01,0.42,0,0.15,-0.71,0,7
1,T8T3T18F0T14F0T4F0F0T8T10T0T13F0T5F0,106,3_none,0,0,0,0,0,0,0,0,1,69
1,T8T4T11T2T0T3T3F0T4T5T1T6T2T2T5F0,97,1_left,0.26,0.11,0.28,0.09,0.01,0.13,0.11,-0.86,0,4
1,T8T4T11T2T0T3T3F0T4T5T1T6T2T2T5F0,97,2_right,0.2,0.14,0.03,0.26,0.1,0.08,0.19,-1,0,4
1,T8T4T11T2T0T3T3F0T4T5T1T6T2T2T5F0,97,3_none,0,0,0,0,0,0,0,0,1,72
1,T9T6F0T6T5T5T18F0F0F0T2F0F0F0T45F0,86,1_left,0.18,0.09,0,0.13,0.1,0.12,0.39,-0.07,0,7
1,T9T6F0T6T5T5T18F0F0F0T2F0F0F0T45F0,86,2_right,0,0,0.03,0,0,0,0.97,-0.16,0,9
1,T9T6F0T6T5T5T18F0F0F0T2F0F0F0T45F0,86,3_none,0,0,0,0,0,0,0,0,1,64
2,F0F0F0F0F0F0T33F0F0T4T3T2T4T6T12F0,138,1_left,0,0,0,0,0,0,1,-0.66,0,2
2,F0F0F0F0F0F0T33F0F0T4T3T2T4T6T12F0,138,2_right,0,0.11,0.08,0.06,0.14,0.21,0.4,-0.82,0,2
2,F0F0F0F0F0F0T33F0F0T4T3T2T4T6T12F0,138,3_none,0,0,0,0,0,0,0,0,1,76
2,F0F0F0F0F0F0T44F0T4T2T4T5T2T6T6F0,120,1_left,0,0,0,0,0,0,1,-0.18,0,4
2,F0F0F0F0F0F0T44F0T4T2T4T5T2T6T6F0,120,2_right,0.17,0.06,0.11,0.2,0.07,0.2,0.19,-0.8,0,2
2,F0F0F0F0F0F0T44F0T4T2T4T5T2T6T6F0,120,3_none,0,0,0,0,0,0,0,0,1,74
2,F0F0F0F0F0F0T49F0F0T6T8T13T2T6T20F0,139,1_left,0,0,0,0,0,0,1,-0.01,0,2
2,F0F0F0F0F0F0T49F0F0T6T8T13T2T6T20F0,139,2_right,0,0.08,0.11,0.27,0.04,0.11,0.38,0.1,0,1
